source,target
StDevP (Population),Иеиҭагам ахьаҵ (Аидкыла)
Var (Sample),Иеиҭагоу адисперсиа (Ақәырԥшы)
~Function,Афункциа
Name:,Ахьӡ:
Difference from,.... аҟынтә аиԥшымра
% of,% рҟынтә
% difference from,аиԥшымра %  ...аҟынтә 
Running total in,Апрогресс
% of row,% ацәаҳәақәа рҟынтәи
% of column,% аиҵаргылақәа рҟынтәи
% of total,% зегьы рҟынтә
~Base field,Ихадароу аҭакыра
Ba~se item,Ихадароу ахәҭа
~User-defined,Ахархәаҩтә
~Manual,Напыла
Display options,Аарԥшра аопциақәа
~Layout,Адырганҵа
Tabular layout,Атабулиартә дырганҵа
Outline layout with subtotals at the top,Аструктура арежим хыхь агәыбжьаратә еицҵалыҵ арбаны
Outline layout with subtotals at the bottom,Аструктура арежим ҵаҟа агәыбжьаратә еицҵалыҵ арбаны
~Empty line after each item,Елементцыԥхьаӡа иҭацәу ацәаҳәа 
~Using field,Аҭакыра ихархәатәуп
Hide i~tems,Иҵәахтәуп
Hierarch~y,Аиерархиа
~Choose the field containing the detail you want to show,"Иалышәх аҭакыра, ицәырыжәгарц ишәҭаху адыррақәа зҭоу"
~Automatically,Автоматала
~Manually at,Напыла
Ma~nually at,Напыла
Grouping,Аидыргәыԥлара
A~utomatically,Автоматала
Number of ~days,Амшқәа рхыԥхьаӡара
~Intervals,Аибжьаӡарақәа
Minutes,мин.
Hours,Асааҭ
Quarters,Акварталқәа
Years,Ашықәсқәа
~Current selection,Изаамҭанытәу алкаара
~Data source registered in %PRODUCTNAME,"Исходные данные, зарегистрированные в %PRODUCTNAME"
Select Source,Выбрать источник
~Service,Асервис
So~urce,Ахыҵхырҭа
Us~er,Ахархәаҩ
Data so~urce,Адыррақәа рыӡхы
Sql,Sql
Sql [Native],Sql [Native]
Select Data Source,Выбрать исходные данные
Page Fields,Адаҟьа аҳәаақәа
Selection area,Иалкаау аобласт
Ignore ~empty rows,Пропускать пустые строки
~Identify categories,Распознавать категории
~Total rows,Всего строк
~Add filter,Араӡага ацҵатәуп
Ena~ble drill to details,Ахәҭакәа рахь аиасра азин аҭатәуп
Sum - ,Сумма - 
Count - ,Количество - 
Mean - ,Среднее значение - 
Max - ,Максимум - 
Min - ,Минимум - 
Product - ,Произведение - 
Whole Numbers,Целое число
~Data,Адыррақәа
less than or equal,еиҵоуп мамзаргьы еиҳауп
not equal,иаҟарам
Ma~ximum,Амаксимум
~Error message,Агхазы ардырра
~Action,Аҟаҵара
Column t~ype,Тип столбца
~Fixed width,Иазгәаҭоу аҭбаара
Ch~aracter set,Акодркра
Te~xt delimiter,Разделитель текста
~Tab,Атабулиациа
S~pace,Абжьажь
~Other,Другие
From ro~w,Со строки
~Text delimiter,Разделитель текста
Table Selection,Аҭаӡҩыра алхра
Existing fields,Ахархәара зоур зылшо аҭарглырҭақәа 
Field Selection,Аҭаркырҭақәа ралхра
Field from the ~List Table,Поле из таблицы списка
Field Link,Аҭакырақәа  реимадара
"No, one particular field is not going to be selected.",Нет. Поле не выбирать.
Which ~value do you want to assign to each option?,Какое значение присвоить каждому параметру?
Which ~caption is to be given to your option group?,Какое название должна получить группа параметров?
Create Option Group,Создать группу параметров
You can either save the value of the option group in a database field or use it for a later action.,Значение группы параметров можно сохранить в поле базы данных или использовать его позднее.
Group Element Wizard,Мастер группового блока
List Box Wizard,Мастер списка
The table connection to the data source could not be established.,Невозможно установить соединение таблицы с исходными данными.
Table element,Аҭаркырҭақәа ралхра
 (Date), (Дата)
"Currently, the form the control belongs to is not (or not completely) bound to a data source.

Please choose a data source and a table.


Please note that the settings made on this page will take effect immediately upon leaving the page.","Аформа, анапхгаратә елемент зҵанакәуа, ҳазҭагылоу аамҭаз емадам (ма аимадара харҭәаам)"
~Data source:,~Адыррақәа рыӡхы:
~...,...
~Table / Query:,Аҭаӡҩыра/Адҵаалара:
"~Yes, I want to save it in the following database field:",Ааи. 
"~No, I only want to save the value in the form.",Мап. Ацакы аформаҟны еқәыхархап.
Database Field,Адыррақәа абаза аҭакы
Mail Merge Wizard,Анашьҭра аҟаза
The connection to the outgoing mail server has been established,Соединение с удаленным почтовым сервером установлено
Sending e-mails...,Отправка почты...
Transfer status,Статус передачи
%1 of %2 e-mails sent,%1 из %2 писем отправлено
Sending paused,Рассылка приостановлена
E-mails not sent: %1,Писем не отправлено: %1
More >>,Подробнее >>
<< Less,<< Скрыть
C~lose,Иарктәуп
~Continue,Ацҵара 
