%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
Аԥштәхәаҿы 	На фоне
Аԥштәы апалитра	Цветовая палитра
Аԥштәы аҵаулара	Глубина цвета
Аԥштәы змоу	Цветной
Аԥштәылгара рхиатәуп	Настроить резкость
Аԥштәыҵәҟьа (24 бит)	Истинный цвет (24 бита)
Аԥшҭәқәа реилазаара	Цветная палитра (4 бита)
Аԥшҭәқәа реилазаара (8битк)	Цветная палитра (8 бит)
Аԥшҭәы  3D	Цвета 3D
Аԥшхәтәы	Цвет
Аԥшхәтәы	Цве~т
Аԥшхәтәы	Цвет 
Аԥшхәтәы	Цвет подчеркивания
Аԥшынра	Фигуры
Аԥшынра ашәагаа атекст иашьашәало иҟаҵатәуп	Подогнать размер фигуры под текст
Аԥшь: [1], Акомандатә цәаҳа: [2]	Приложение: [1], Командная строка: [2]
Аԥшьганеиҟара	Квадрат
Аԥшьганеиҟара аҿы аманы	Квадрат с фаской
Аԥшькәакьҭа хыргьежьаа	Скруглённый прямоугольник
Аԥшькәакьҭа хыргьежьаа	Скругленный прямоугольник
Аԥшькәакьҭа, иҭырҭәаамкәа	Прямоугольник, без заливки
Аԥшьқәеи COM+ ахәҭақәеи рҭаҩра	Регистрация приложений и компонентов COM+
Аԥшьы	Приложение
Аԥшьы:	Приложение:
Аԥшьы: [1]	Приложение: [1]
Аԥшьы/адокумент	Приложение/документ
Аԥшьы/адокумент	Расположение
Аԥыхра	Сброс
Аԥыхра	Reset
аԥыхра	удаление
Аԥыхра алшом	Невозможно отменить 
Аԥыхра, Ақәгара	Удаление
Аԥыхразы азин аҳҭап	Разрешить удаление
Арабтәи	Арабский
Араӡага	Фильтр
Араӡага	Фильтрация
Араӡага	Стандартный фильтр
Араӡага аԥыхтәуп	Удалить фильтр
Араӡага архиарақәа рыԥсахра	Изменение настроек фильтра
Араӡага архиарақәа рыԥсахра	~Изменение настроек фильтра
Араӡага ахархәара аҭатәуп	Применить фильтр
Араӡага ацҵатәуп	Добавить фильтр
Араӡага ишыҟоу еиԥш	Фильтр по умолчанию...
Араӡага ишыҟоу еиԥш	Фильтр по умолчанию
Араӡага...	Фильтр...
Араӡагақәа рнавигатор	Навигатор фильтров
Араӡара	Фильтрация
Араӡара	Фильтр
Араӡара/Аилырхра	Фильтрация / Сортировка
Арастртә сахьа	Текстура
Арастртә сахьа	Растровое изображение
Арацәа рҿы аоперациа	Операции над множествами
Арба~ра	~Демонстрация
Арбага  	Указатель
Арбага  	Указател~ь
Арбага адыргақәа	Метки указателя
Арбага азхьарԥш	Ссылка указателя
Арбага аныхра	Удалить указатель
Арбага аԥҵатәуп	Создать указатель
Арбага ахәҭа бжьаргылатәуп	Вставить элемент указателя
Арбага ахәҭақәа	Элемент указателя
Арбага ахәҭақәа	Элемент указателя...
Арбага аҽырҿыцра...	Обновление указателя...
Арбага ихадоу ахәҭа	Основной элемент указателя
Арбагадыргақәа рфаилқәа ркопиа ҟанаҵоит.	Копируются файлы разметки...
Арбагақәа	Указатели
Арбагақәа рстиль	Стили указателя
Арбара	Вид
Арбара ахышәарақәа	П~араметры демонстрации...
Арӷьарахь	Вправо
Арӷьарахь ала ахьаҵра	Отступ справа
Арӷьарахь анасҭхара	С~двиг вправо
Арӷьарахь анасҭхара	Сдвиг вправо
Арӷьарахь архәара	Наклон вправо
Арӷьарахь иалкаатәуп	Выделить вправо
Арӷьарахь ииастәуп	Перейти вправо
Арӷьарахь иқәыргьежьтәуп	Повернуть вправо
Арӷьарахь ихарҭәаатәуп	Заполнить вправо
Арӷьарахьтә армарахь	Справа налево
